861349,5181,2520,2,961787817,F,35
249126,1501,586,4,975141645,M,18
346631,2030,3852,4,1042347160,M,35
710998,4265,2581,4,965304651,M,56
794678,4753,2405,3,963185357,F,18
325786,1927,3809,3,974692209,M,1
662717,3993,2916,4,966701192,M,50
806761,4828,2528,4,1000574051,M,25
996557,6015,802,3,956959611,M,45
598865,3645,480,4,966468196,M,35
232834,1414,2398,4,993496846,M,45
547707,3378,2805,2,967586741,M,35
402156,2401,2404,3,974262228,M,45
722198,4322,2890,5,965250667,M,18
319118,1896,3046,3,976158760,F,50
176613,1116,585,3,975693606,M,18
603255,3670,457,4,966375951,M,25
9448,61,1213,5,977906960,F,35
636786,3835,1499,2,966184478,F,50
412662,2483,934,4,974146521,M,45
879227,5311,2204,3,963367338,M,25
998182,6031,921,5,956718030,M,45
886289,5351,3740,1,960648522,F,35
12183,91,1307,5,977646757,F,18
515123,3179,1207,4,968802997,M,25
921761,5567,1876,2,959309758,M,18
714688,4278,441,5,965288167,M,25
666822,4013,762,1,965537927,M,25
164562,1050,662,1,988592652,F,25
689348,4123,3016,2,965356331,M,25
987085,5956,2021,4,957074536,M,18
222059,1342,3814,5,975803345,M,35
869227,5249,1702,1,961355538,M,50
252549,1529,2321,4,974745250,M,25
20500,149,3755,4,977304614,M,35
44219,301,761,3,976507037,M,18
139942,896,475,4,975222001,M,25
934446,5640,509,1,958926014,F,25
93520,624,838,5,975786898,F,35
109147,713,3034,5,975783008,M,18
545278,3362,1101,4,1011635861,F,35
397846,2359,1580,3,974380669,M,50
130518,845,2116,5,975355765,M,25
795403,4764,2067,5,1012019955,F,35
220624,1337,1250,5,978405919,M,25
882885,5332,3471,4,1006667279,F,25
208090,1271,348,4,974815941,M,18
78269,527,2410,2,980655365,F,18
728199,4353,1588,1,965195079,M,35
23859,168,2002,3,977211230,M,25
985267,5953,928,5,957706250,M,45
620763,3759,1956,3,966096595,M,50
315603,1879,1042,3,974698306,M,35
910009,5503,356,5,959734867,M,45
638602,3840,3584,3,965999800,M,45
622143,3767,818,2,966067328,M,25
208311,1272,2144,3,974816936,M,35
743978,4446,3524,3,965176378,M,45
739067,4415,3499,4,965325138,M,18
838105,5038,2586,2,962513183,F,35
728477,4353,2352,3,965190996,M,35
468196,2886,1272,4,972176999,M,25
660292,3980,1409,3,965626702,F,45
389849,2287,928,4,974523547,M,1
572233,3506,866,4,966997118,M,25
447144,2753,3263,3,973196235,M,50
733815,4385,427,2,965246077,M,25
58234,391,541,4,976306238,M,18
522217,3223,2416,4,968522383,F,25
38054,259,3623,3,976671485,M,18
512687,3162,215,5,968881392,M,18
359581,2101,2918,3,974656827,M,25
251443,1518,2502,4,974771334,M,18
985012,5951,1573,4,957145134,F,45
243990,1469,3898,3,974753676,M,18
245221,1479,3579,1,974754198,M,25
596232,3625,3016,4,966617786,M,25
831280,4996,3243,4,962592751,M,1
50685,332,2791,5,996356650,M,35
607557,3687,2987,5,966402336,M,18
995101,6009,1499,2,956860223,M,35
